Product Code,Training Set R2 Score,Training Set RMSE
21WW23074MA,0.988234663,0.051707303
22SW55054UK,0.970731661,0.083225767
22SW55059UK,0.959263673,0.097074773
22SW55061UK,0.912428853,0.139439166
22WM28118MA,0.757483786,0.236333346
22WM28121MA,0.754999437,0.235815822
23SM28132MA,0.761834097,0.237463556
23SM81008NG,0.725101917,0.250533836
23SM81009NG,0.730278764,0.250120504
23SW21090EB,0.72199474,0.251834039
23SW49042BB,0.568282474,0.31283257
B0169030,0.587398296,0.304296219
B0169031,0.56054546,0.312248112
B0169032,0.718445981,0.24892307
B0169034,0.572249892,0.307168499
B0169037,0.745485696,0.236484956
B0169038,0.626729271,0.304052219
B0169041,0.793316661,0.197585133
B0169042,0.832052891,0.183853818
B0169245,0.804713887,0.196435991
B0169246,0.792391532,0.202071639
B0169247,0.728409643,0.220898922
B0169248,0.766651817,0.204118542
B0169251,0.749909673,0.198580454
B0169255,0.736586634,0.200714522
B0169257,0.698374109,0.222305225
B0169259,0.696937093,0.2213861
B0169262,0.668207248,0.228025724
B0169264,0.629880025,0.234727677
B0169267,0.637618303,0.23205873
B0169271,0.634671137,0.233166015
B0169274,0.619631608,0.23787244
B0169275,0.621789033,0.235594947
B0169280,0.576052843,0.249352197
B0169281,0.612517262,0.265030524
B0169282,0.556093436,0.284234504
B0169283,0.593457516,0.271978943
B0169284,0.553892127,0.296882488
B0169285,0.555688734,0.2953975
B0169288,0.554279478,0.295592454
B0169518,0.553922138,0.293791988
B0169519,0.550994547,0.294776658
B0169540,0.649275429,0.32465133
B06006059,0.636414665,0.329838444
E011000120,0.644793089,0.326956028
E011000140,0.643965321,0.327041552
E011000150,0.618747439,0.337570037
E011000160,0.641447964,0.326704278
E011000170,0.61194447,0.339150672
E011000250,0.617990057,0.336215916
E011000270,0.620191303,0.334498816
E011000340,0.586591678,0.360216896
E011000350,0.605210955,0.354741958
E011000370,0.578198437,0.3708246
E011000400,0.570133314,0.374119218
E011000500,0.582472712,0.377224455
E011000510,0.560941856,0.401286766
E011000550,0.556232795,0.394244163
E011000560,0.561743785,0.403140253
E011000570,0.577579066,0.512665516
E011000580,0.606989612,0.49316489
E011000595,0.595925093,0.500170775
E011000990,0.598062426,0.498632912
E06690010,0.592378223,0.50300364
E06690047,0.600929132,0.498529841
E06690050,0.627995392,0.575029246
E069060,0.617640332,0.583454302
23SM16139ME,0.619445657,0.581972013
23SM18240NG,0.624869436,0.577436315
23SW17332BB,0.622195189,0.579471249
23SW55071BC,0.613968504,0.585993854
B0169769,0.637369859,0.651184399
E011000430,0.637788437,0.650753649
22WM28120MA,0.633026529,0.655491976
22WW15025MA,0.566670498,0.196035424
22WW15129BD,0.551695594,0.198232226
23SM16133ME,0.555995464,0.195303367
