period_id,branch_code,product_id,product_code,color,size,net_quantity,lag_7,lag_14,code_volume,p_id_volume,s_p_id_volume,p_id_sales,s_sales,c_ratio,s_ratio,s_s_rate,s_g_s_rate,g_s_rate,s_g_rate,c_s,is_nos,c_w_s_status
1,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
2,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
3,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
4,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
5,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
6,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
7,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
8,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
9,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
10,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
11,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
12,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,0,1,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
13,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,0,1,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
14,B124,21WW23074MAEK75C,21WW23074MA,EK,75C,1,0,0,0.1641791,0.3,0.07692308,129,11971,0.35135847,0.09684685,0.451,0.888,1.91,0.55,0,0,0
1,B124,21WW23074MAEK80C,21WW23074MA,EK,80C,,1,0,0.1641791,0.23631841,1,95,11971,0.35135847,0.07132132,0.451,0.888,1.91,0.55,0,0,1
2,B124,21WW23074MAEK80C,21WW23074MA,EK,80C,1,0,0,0.1641791,0.23631841,1,95,11971,0.35135847,0.07132132,0.451,0.888,1.91,0.55,0,0,1
1,B124,22SW35094STYES44,22SW35094ST,YES,44,,0,0,0.33333334,0.5714286,0.33333334,40,11971,1,0.1438849,0.451,0.888,1.64,1.87,0,0,1
2,B124,22SW35094STYES44,22SW35094ST,YES,44,0,0,1,0.33333334,0.5714286,0.33333334,40,11971,1,0.1438849,0.451,0.888,1.64,1.87,0,0,1
3,B124,22SW35094STYES44,22SW35094ST,YES,44,0,1,0,0.33333334,0.5714286,0.33333334,40,11971,1,0.1438849,0.451,0.888,1.64,1.87,0,0,1
4,B124,22SW35094STYES44,22SW35094ST,YES,44,1,0,0,0.33333334,0.5714286,0.33333334,40,11971,1,0.1438849,0.451,0.888,1.64,1.87,0,0,1
1,B124,22SW55054UKTRC36-38,22SW55054UK,TRC,36-38,,0,0,0.078947365,0.11134812,0.15,261,11971,0.31935483,0.5272727,0.451,0.888,5.65,0.79,0,0,1
2,B124,22SW55054UKTRC36-38,22SW55054UK,TRC,36-38,0,0,0,0.078947365,0.11134812,0.15,261,11971,0.31935483,0.5272727,0.451,0.888,5.65,0.79,0,0,1
3,B124,22SW55054UKTRC36-38,22SW55054UK,TRC,36-38,0,0,0,0.078947365,0.11134812,0.15,261,11971,0.31935483,0.5272727,0.451,0.888,5.65,0.79,0,0,1
